,HAM31,HAM32,HAM33,HAM34,HAM35,HAM36,HAM37,HFRX Commodity Index,DJUBS Commodity,Morningstar CLS,Newedge CTI
2006-12-31,-0.0244,-0.0019,0.0176,-0.0084,,0.0188,-0.0015,0.0156,-0.0497,-0.0146,0.002
2007-01-31,0.0021,-0.0458,-0.0169,0.0241,,-0.0077,0.0136,-0.008,-0.0025,0.0067,0.0059
2007-02-28,0.0115,0.0589,0.0166,0.004,,0.0455,0.0275,0.0129,0.0296,0.019,0.0237
2007-03-31,-0.0028,0.0354,0.0146,0.0005,,-0.1005,-0.0112,-0.0067,0.0056,-0.0106,-0.0004
2007-04-30,-0.0175,0.0223,0.0015,0.0436,,-0.0284,-0.0089,0.014,0.0073,0.0077,-0.0002
2007-05-31,0.0108,-0.0119,0.0222,0.0132,,0.0104,-0.0019,0.0061,-0.0028,0.0091,0.0023
2007-06-30,0.0367,0.0109,0.0125,0.0074,,0.065,0.0184,0.0314,-0.0177,-0.0046,0.0205
2007-07-31,0.0129,0.0231,0.0066,0.0223,,-0.0306,0.0262,-0.0139,0.0164,-0.0034,0.0058
2007-08-31,-0.0071,0.0994,-0.0371,-0.0001,,-0.0247,-0.0324,-0.0051,-0.0399,0.018,-0.0206
2007-09-30,0.0429,0.0467,0.0597,0.0544,,0.0763,0.0682,0.0483,0.0766,0.0604,0.0567
2007-10-31,0.0149,0.1069,0.0305,0.0662,,0.0216,0.0424,0.0368,0.0296,0.039,0.0257
2007-11-30,-0.0177,0.0497,0.005,0.0153,,0.0624,0.0164,-0.0022,-0.0342,0.0051,-0.0054
2007-12-31,0.0458,0.1335,0.0267,0.0084,,0.0837,0.0421,0.015,0.0435,0.0504,0.0432
2008-01-31,0.0829,0.0737,0.0461,-0.0002,,0.0202,0.0475,0.03,0.0396,0.0218,0.0293
2008-02-29,0.1477,-0.017,0.0757,0.0327,,0.0152,0.1941,0.0911,0.1208,0.1162,0.0768
2008-03-31,0.0207,0.0781,-0.0166,-0.1282,,-0.0305,-0.0607,-0.0129,-0.0646,-0.0509,-0.0417
2008-04-30,0.0021,0.0904,0.0085,-0.0432,,0.0159,-0.0035,-0.0042,0.0345,0.0386,0.014
2008-05-31,-0.0036,0.0162,0.0153,-0.0269,,0.0192,-0.0047,0.0014,0.0259,0.0481,0.0228
2008-06-30,0.0465,0.0322,0.0315,-0.0038,,0.0445,0.0457,0.027,0.0892,0.0899,0.0422
2008-07-31,-0.0042,-0.0505,0.0103,-0.0343,,0.0015,-0.0691,-0.0201,-0.1199,-0.0916,-0.0409
